latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
60.543304,3.2141266,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-03T22:00,8.1,92,54.7,186,100,1010.1,1010.1,3,3.46,198,2.92,180,1.5,21,NaN
2025-02-03T23:00,8.1,92,54,187,100,1009.6,1009.6,3,3.48,200,2.94,180,1.4,23,NaN
2025-02-04T00:00,8.1,93,52.9,184,100,1009.2,1009.2,51,3.52,201,2.94,181,1,31,NaN
2025-02-04T01:00,8.1,93,52.9,183,100,1008.9,1008.9,51,3.54,202,2.94,181,0.9,37,NaN
2025-02-04T02:00,8.1,92,52.9,183,100,1008.6,1008.6,51,3.58,202,2.96,180,0.8,45,NaN
2025-02-04T03:00,8.1,92,52.9,184,100,1008.6,1008.6,51,3.6,203,2.96,180,0.6,56,NaN
2025-02-04T04:00,8,92,53.3,182,100,1008,1008,51,3.72,203,3.04,179,0.4,63,NaN
2025-02-04T05:00,7.9,92,54.4,180,100,1007.3,1007.3,51,3.82,204,3.1,179,0.3,45,NaN
2025-02-04T06:00,7.9,93,55.4,178,100,1006.6,1006.6,51,3.94,204,3.18,178,0.4,27,NaN
2025-02-04T07:00,8,93,57.6,176,100,1005.9,1005.9,51,3.94,205,3.16,178,0.5,0,NaN
2025-02-04T08:00,8,93,60.8,176,100,1005.7,1005.7,53,3.94,207,3.16,179,0.5,0,NaN
2025-02-04T09:00,8.1,93,60.1,180,100,1005.7,1005.7,53,3.94,208,3.14,179,0.7,0,NaN
2025-02-04T10:00,8.1,93,60.1,181,100,1005,1005,3,4.06,210,3.24,180,0.7,0,NaN
2025-02-04T11:00,8.1,93,61.9,181,100,1004.5,1004.5,51,4.2,211,3.32,182,0.7,14,NaN
2025-02-04T12:00,8.1,92,63.4,183,100,1003.8,1003.8,51,4.32,213,3.42,183,0.4,27,NaN
2025-02-04T13:00,8.1,93,61.9,186,100,1003.3,1003.3,51,4.36,215,3.36,186,0.3,45,NaN
2025-02-04T14:00,8.1,93,57.2,190,100,1003.1,1003.1,61,4.42,217,3.32,188,0.3,135,NaN
2025-02-04T15:00,8.2,93,54,197,100,1003.3,1003.3,61,4.46,219,3.26,191,0.4,153,NaN
2025-02-04T16:00,8.2,93,50.8,198,100,1002.8,1002.8,61,4.32,220,2.92,195,0.6,162,NaN
